"V160001","V161126","V161196","V161342","V162034a","V162148"
300001,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300002,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","1. Favor"
300006,"4. Moderate, middle of the road","2. Oppose","2. Female","4. Jill Stein","3. Neither favor nor oppose"
300007,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300008,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300012,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300020,"3. Slightly liberal","2. Oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
300026,"4. Moderate, middle of the road","2. Oppose","1. Male","3. Gary Johnson","3. Neither favor nor oppose"
300030,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","1. Favor"
300034,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300039,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300040,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300041,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300046,"3. Slightly liberal","1. Favor","2. Female","2. Donald Trump","1. Favor"
300047,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300049,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","1. Favor"
300050,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300056,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","-9. Refused","1. Favor"
300058,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300070,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
300072,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300082,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
300092,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
300094,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300099,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
300100,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300103,"6. Conservative","1. Favor","1. Male","2. Donald Trump","1. Favor"
